Rank,Sample_Index,y_keras,y_hls,abs_delta
476,154,0.999996,0.999023,0.000972
477,270,0.999995,0.999023,0.000972
478,1303,0.999995,0.999023,0.000972
479,830,0.999995,0.999023,0.000972
480,1308,0.999995,0.999023,0.000972
481,597,0.999995,0.999023,0.000972
482,887,0.999995,0.999023,0.000972
483,508,0.999995,0.999023,0.000971
484,112,0.999995,0.999023,0.000971
485,604,0.999995,0.999023,0.000971
486,735,0.999995,0.999023,0.000971
487,331,0.999995,0.999023,0.000971
488,102,0.999995,0.999023,0.000971
489,400,0.999995,0.999023,0.000971
490,1305,0.999995,0.999023,0.000971
491,219,0.999994,0.999023,0.000971
492,605,0.999994,0.999023,0.000971
493,644,0.999994,0.999023,0.000971
494,1197,0.999994,0.999023,0.000970
495,345,0.999994,0.999023,0.000970
496,888,0.999994,0.999023,0.000970
497,157,0.999994,0.999023,0.000970
498,838,0.999994,0.999023,0.000970
499,311,0.999993,0.999023,0.000970
500,1198,0.999993,0.999023,0.000970
501,486,0.999993,0.999023,0.000970
502,1257,0.999993,0.999023,0.000970
503,1235,0.999993,0.999023,0.000970
504,892,0.999993,0.999023,0.000969
505,347,0.999993,0.999023,0.000969
506,398,0.999993,0.999023,0.000969
507,819,0.999992,0.999023,0.000969
508,615,0.999992,0.999023,0.000969
509,443,0.999992,0.999023,0.000969
510,1203,0.999992,0.999023,0.000968
511,126,0.999992,0.999023,0.000968
512,1210,0.999992,0.999023,0.000968
513,343,0.999992,0.999023,0.000968
514,458,0.999991,0.999023,0.000968
515,911,0.999991,0.999023,0.000968
516,776,0.999991,0.999023,0.000968
517,723,0.999991,0.999023,0.000968
518,688,0.999991,0.999023,0.000968
519,698,0.999991,0.999023,0.000968
520,840,0.999991,0.999023,0.000967
521,584,0.999991,0.999023,0.000967
522,603,0.999991,0.999023,0.000967
523,101,0.999991,0.999023,0.000967
524,524,0.999991,0.999023,0.000967
525,699,0.999991,0.999023,0.000967
526,156,0.999991,0.999023,0.000967
527,897,0.999990,0.999023,0.000967
528,784,0.999990,0.999023,0.000967
529,623,0.999990,0.999023,0.000966
530,757,0.999990,0.999023,0.000966
531,349,0.999990,0.999023,0.000966
532,1221,0.999990,0.999023,0.000966
533,719,0.999990,0.999023,0.000966
534,1253,0.999990,0.999023,0.000966
535,216,0.999989,0.999023,0.000966
536,1323,0.999989,0.999023,0.000966
537,641,0.999989,0.999023,0.000966
538,292,0.999989,0.999023,0.000965
539,1236,0.999989,0.999023,0.000965
540,267,0.999988,0.999023,0.000965
541,608,0.999988,0.999023,0.000965
542,667,0.999988,0.999023,0.000964
543,729,0.999988,0.999023,0.000964
544,611,0.999988,0.999023,0.000964
545,821,0.999988,0.999023,0.000964
